CLARK-Y 11.7% smoothed
     1.000909    0.008366
     0.996623    0.009453
     0.983844    0.012597
     0.962793    0.017536
     0.933821    0.023974
     0.897441    0.031675
     0.854254    0.040370
     0.805022    0.049708
     0.750577    0.059259
     0.691852    0.068552
     0.629857    0.077063
     0.565645    0.084317
     0.500326    0.089885
     0.435011    0.093445
     0.370811    0.094802
     0.339479    0.094639
     0.308837    0.093910
     0.279017    0.092633
     0.250138    0.090829
     0.222330    0.088439
     0.195724    0.085371
     0.170419    0.081525
     0.146525    0.076862
     0.124143    0.071481
     0.103372    0.065552
     0.084312    0.059324
     0.067023    0.052978
     0.051585    0.046542
     0.038078    0.039977
     0.026543    0.033172
     0.017048    0.026128
     0.009615    0.019004
     0.004282    0.012089
     0.001070    0.005695
    -0.000000   -0.000000
     0.001069   -0.005005
     0.004278   -0.009469
     0.009605   -0.013474
     0.017032   -0.017058
     0.026517   -0.020183
     0.038042   -0.022787
     0.051535   -0.024852
     0.066957   -0.026458
     0.084228   -0.027674
     0.103268   -0.028602
     0.124017   -0.029242
     0.146375   -0.029593
     0.170241   -0.029656
     0.195516   -0.029431
     0.222090   -0.028979
     0.249862   -0.028340
     0.278703   -0.027584
     0.308483   -0.026770
     0.339081   -0.025910
     0.370369   -0.025042
     0.434469   -0.023285
     0.499674   -0.021556
     0.564875   -0.019868
     0.628963   -0.018264
     0.690828   -0.016752
     0.749423   -0.015360
     0.803738   -0.014118
     0.852846   -0.013060
     0.895919   -0.012155
     0.932199   -0.011374
     0.961087   -0.010656
     0.982076   -0.009997
     0.994817   -0.009493
     0.999091   -0.009306
